iter	Passed	Remaining
0	214	214237
1	216	108099
2	217	72409
3	219	54592
4	223	44470
5	225	37317
6	226	32113
7	227	28234
8	228	25206
9	229	22761
10	230	20747
11	231	19071
12	232	17651
13	236	16642
14	239	15713
15	240	14771
16	241	13943
17	241	13199
18	242	12530
19	243	11926
20	244	11382
21	244	10885
22	245	10433
23	249	10150
24	251	9789
25	253	9489
26	255	9193
27	256	8887
28	256	8599
29	257	8328
30	258	8077
31	259	7841
32	260	7619
33	261	7428
34	264	7281
35	265	7115
36	266	6936
37	267	6765
38	267	6601
39	268	6447
40	269	6301
41	270	6162
42	271	6039
43	272	5914
44	272	5792
45	275	5717
46	277	5624
47	278	5529
48	280	5446
49	282	5371
50	284	5289
51	285	5203
52	286	5111
53	286	5023
54	290	4995
55	291	4920
56	292	4842
57	293	4766
58	294	4691
59	294	4618
60	295	4548
61	296	4483
62	297	4418
63	297	4354
64	298	4296
65	299	4236
66	300	4179
67	301	4131
68	302	4085
69	303	4035
70	304	3986
71	305	3936
72	306	3888
73	307	3841
74	307	3796
75	308	3752
76	309	3708
77	310	3665
78	310	3623
79	311	3582
80	312	3542
81	312	3503
82	313	3461
83	314	3424
84	314	3388
85	316	3366
86	318	3339
87	319	3313
88	320	3283
89	321	3250
90	322	3222
91	323	3193
92	324	3165
93	325	3136
94	326	3107
95	326	3078
96	327	3049
97	328	3021
98	328	2993
99	332	2990
100	333	2969
101	334	2948
102	336	2927
103	337	2903
104	337	2878
105	338	2856
106	339	2833
107	340	2810
108	340	2787
109	342	2767
110	342	2746
111	343	2725
112	346	2720
113	349	2713
114	351	2705
115	352	2685
116	353	2665
117	353	2644
118	354	2624
119	355	2604
120	355	2584
121	356	2564
122	356	2545
123	357	2526
124	358	2507
125	358	2489
126	361	2486
127	363	2475
128	365	2467
129	366	2454
130	367	2438
131	368	2421
132	369	2407
133	370	2396
134	372	2384
135	373	2369
136	379	2389
137	381	2384
138	383	2373
139	384	2359
140	384	2344
141	385	2328
142	386	2314
143	386	2300
144	387	2286
145	390	2285
146	392	2278
147	393	2266
148	394	2255
149	395	2242
150	396	2229
151	397	2215
152	397	2202
153	398	2189
154	399	2176
155	400	2164
156	400	2151
157	401	2139
158	402	2128
159	404	2123
160	405	2115
161	407	2105
162	408	2096
163	412	2101
164	414	2095
165	415	2085
166	418	2086
167	420	2081
168	422	2076
169	423	2069
170	424	2060
171	425	2049
172	426	2039
173	427	2028
174	428	2018
175	429	2009
176	430	2001
177	436	2016
178	438	2011
179	439	2002
180	440	1992
181	441	1983
182	442	1974
183	443	1965
184	443	1955
185	444	1945
186	445	1935
187	446	1926
